logeventid	logeventdesc	logstr1desc	logstr2desc	logstr3desc	logint64desc	logint32desc	logstr4desc	loguint32desc	logcls	logstate
1	1	1	1	1	1	1	1	1	1	1
0	NPC掉落物品	NPC模板（%d）					"%d,%d,%d,%d" 物品ID		8	0
1	NPC掉落银币	NPC模板（%d）			银币数				2	0
2	交易金币	玩家UUID	另一个玩家UUID		金币数				1	0
3	交易物品	玩家UUID	另一个玩家UUID	物品UUID	数量	是否加上后被叠加删除	"%d,%d,%d,%d" 物品ID		8	0
4	杀怪获得经验	玩家UUID			经验数量	地图ID			16	0
5	任务获得经验	玩家UUID			经验数量	任务ID			16	0
6	GM获得经验	玩家UUID			经验数量				16	0
7	通用获得金币	玩家UUID			金币数量				1	0
8	声望换取金币	玩家UUID			金币数量				1	0
9	GM添加金币	玩家UUID			金币数量				1	0
10	邮件获取金币	玩家UUID			金币数量		发送方姓名		1	0
11	邮件操作失败回滚金币	玩家UUID			金币数量				1	0
12	拍卖操作失败回滚金币	玩家UUID			金币数量				1	0
14	强化失败回滚金币	玩家UUID			金币数量				1	0
15	结婚失败回滚金币	玩家UUID			金币数量				1	0
16	求婚失败回滚金币	玩家UUID			金币数量				1	0
17	通用扣除金币	玩家UUID			金币数量				1	0
18	商店扣除金币	玩家UUID			金币数量				1	0
19	发送邮件扣除金币	玩家UUID			金币数量		接受方姓名		1	0
20	取邮件扣除金币	玩家UUID			金币数量		发送方姓名		1	0
21	拍卖行扣除金币	玩家UUID			金币数量				1	0
22	任务扣除金币	玩家UUID			金币数量				1	0
23	修理扣除金币	玩家UUID			金币数量				1	0
24	GM扣除金币	玩家UUID			金币数量				1	0
25	交易税扣除金币	玩家UUID			金币数量				1	0
27	装备强化扣除金币	玩家UUID			金币数量				1	0
28	房屋扣除金币	玩家UUID			金币数量				1	0
29	婚礼扣除金币	玩家UUID			金币数量				1	0
30	求婚扣除金币	玩家UUID			金币数量				1	0
31	商店购买物品	玩家UUID	物品UUID	数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
32	回购物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
33	拾取物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
34	邮件获取物品	玩家UUID	物品UUID	'%d,%s' 数量 发送邮件者		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
35	邮件失败退回物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
36	拍卖行失败退回物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
37	任务奖励物品	玩家UUID	物品UUID	'%d' 数量	任务ID	是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
38	玩家分拆出物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
39	GM给与物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
40	合成物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
41	IB商店购买物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
42	物品叠加删除	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
43	物品使用删除	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
44	物品丢弃	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
45	物品卖店	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
46	物品玩家掉落	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
47	物品邮件寄送	玩家UUID	物品UUID	'%s' 目标玩家名字		数量	'%d,%d,%d,%d' 物品ID		8	0
48	拍卖行扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
49	求购扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
50	任务扣除物品	玩家UUID	物品UUID		任务ID	数量	'%d,%d,%d,%d' 物品ID		8	0
51	GM扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
52	打造合成扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
53	修理物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
54	使用物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
55	玩家进入	玩家UUID			经验	金币数量	'%d,%d,%d,%d' 等级 粉钻 星座点 是否防沉迷	历练	8192	0
56	玩家离开	玩家UUID			经验	金币数量	'%d,%d,%d' 等级 粉钻 星座点	历练	8192	0
57	接受任务	玩家UUID			上线时间	任务ID			32	0
58	放弃任务	玩家UUID			上线时间	任务ID			32	0
59	完成任务	玩家UUID			上线时间	任务ID			32	0
60	发邮件	玩家UUID					收件人名字		1	0
61	普通疲劳值改变	玩家UUID			疲劳值增量				64	0
62	系统刷新疲劳值给予	玩家UUID			疲劳值增量				64	0
63	任务奖励疲劳值	玩家UUID			疲劳值增量	任务ID			64	0
64	副本扣除疲劳值	玩家UUID			疲劳值增量	地图ID		难度	64	0
65	通用添加银币	玩家UUID			银币增量				2	0
66	GM添加银币	玩家UUID			银币增量				2	0
67	任务奖励银币	玩家UUID			银币增量				2	0
68	卖店获得银币	玩家UUID			银币增量				2	0
69	晶石培养失败返还银币	玩家UUID			银币增量				2	1
70	求婚失败返还银币	玩家UUID			银币增量				2	0
71	强化失败返还银币	玩家UUID			银币增量				2	0
72	反强化获取银币	玩家UUID			银币增量				2	0
73	拾取银币	玩家UUID			银币增量				2	0
74	举办婚礼失败返还银币	玩家UUID			银币增量				2	0
75	通用扣除银币	玩家UUID			银币增量				2	0
76	修理扣除银币	玩家UUID			银币增量				2	0
77	任务扣除银币	玩家UUID			银币增量	任务ID			2	0
78	商店扣除银币	玩家UUID			银币增量				2	0
79	晶石培养扣除银币	玩家UUID			银币增量				2	0
80	强化扣除银币	玩家UUID			银币增量				2	0
81	房屋扣除银币	玩家UUID			银币增量				2	0
82	结婚扣除银币	玩家UUID			银币增量				2	0
83	求婚扣除银币	玩家UUID			银币增量				2	0
84	GM扣除银币	玩家UUID			银币增量				2	0
85	玩家竞技场积分改变	玩家UUID			改变增量				8192	0
99	粉钻IB商店购买	玩家UUID			粉钻数量				128	0
102	通用钻石消耗	玩家UUID			钻石数量				4	0
106	钻石消耗IB商店	玩家UUID	商品UUID	给予玩家名	钻石数量	数量	物品模板ID		4	0
107	钻石消耗求婚	玩家UUID			钻石数量				4	0
108	钻石消耗结婚	玩家UUID			钻石数量				4	0
109	钻石消耗婚礼红包	玩家UUID			钻石数量				4	0
110	任务奖励声望	玩家UUID			声望值	任务ID			8192	0
111	统计:获得银币	玩家UUID			值				4096	0
112	统计:消耗银币	玩家UUID			值				4096	0
113	统计:获得金币	玩家UUID			值				4096	0
114	统计:消耗金币	玩家UUID			值				4096	0
115	统计:获得经验值	玩家UUID			值				4096	0
116	统计:升级次数	玩家UUID			值				4096	0
117	统计:声望添加	玩家UUID			值				4096	0
118	统计:声望消耗	玩家UUID			值				4096	0
119	疲劳值兑换	玩家UUID			值				64	0
120	公会创建	公会UUID	会长UUID		值				8192	0
121	公会解散	公会UUID			值				8192	0
122	任务获取绑钻	玩家UUID			值				128	0
123	技能升级技能扣除银币	玩家UUID			值				2	0
124	技能升级技能扣除金币	玩家UUID			值				1	0
125	守护扣银币	玩家UUID			值				258	0
126	副本获取粉钻	玩家UUID			值				128	0
131	NPC掉落金币	NPC模板（%d）			值				1	0
132	拾取金币	玩家UUID			值				1	0
134	任务获取金币	玩家UUID			值	任务ID			1	0
135	天赋扣除金币	玩家UUID			值				1	0
136	天赋扣除银币	玩家UUID			值				2	0
137	副本摇奖扣除金币	玩家UUID			值				1	0
141	创建公会消耗金币	玩家UUID			值				1	0
142	更改公会职位名称消耗金币	玩家UUID			值				1	0
143	公会捐赠金币	玩家UUID			值				1	0
144	公会捐赠钻石	玩家UUID			值				4	0
164	卖金	玩家UUID			值				5	0
165	卖金失败返还	玩家UUID			值				5	0
145	创建公会失败金币返还	玩家UUID			值				1	0
