rank_type	rank_desc	rank_point_type	rank_eq_filter	rank_range_filter_min	rank_range_filter_max	rank_sort	rank_needs
1	1	1	1	1	1	1	1
1	财富排行|查询金币	9	-1	-1	-1	0	0
2	财富排行|查询银币	10	-1	-1	-1	0	0
3	财富排行|查询钻石	11	-1	-1	-1	0	0
4	装备评分排行|查询所有职业	7	-1	-1	-1	0	0
5	装备评分排行|查询骑士	7	0	-1	-1	0	0
6	装备评分排行|查询赏金猎人	7	1	-1	-1	0	0
7	装备评分排行|查询傀儡师	7	3	-1	-1	0	0
8	装备评分排行|查询魔导师	7	2	-1	-1	0	0
9	等级排行|查询所有职业	6	-1	-1	-1	0	0
10	等级排行|查询骑士	6	0	-1	-1	0	0
11	等级排行|查询赏金猎人	6	1	-1	-1	0	0
12	等级排行|查询傀儡师	6	3	-1	-1	0	0
13	等级排行|查询魔导师	6	2	-1	-1	0	0
14	基础属性排行|查询物理伤害	12	-1	-1	-1	0	0
15	基础属性排行|查询魔法伤害	13	-1	-1	-1	0	0
16	基础属性排行|查询冰伤	14	-1	-1	-1	0	0
17	基础属性排行|查询火伤	15	-1	-1	-1	0	0
18	基础属性排行|查询雷伤	16	-1	-1	-1	0	0
19	基础属性排行|查询暗伤	17	-1	-1	-1	0	0
20	基础属性排行|查询光伤	18	-1	-1	-1	0	0
21	忽视属性排行|查询忽视防御	19	-1	-1	-1	0	0
22	忽视属性排行|查询忽视冰抗	20	-1	-1	-1	0	0
23	忽视属性排行|查询忽视火抗	21	-1	-1	-1	0	0
24	忽视属性排行|查询忽视雷抗	22	-1	-1	-1	0	0
25	忽视属性排行|查询忽视暗抗	23	-1	-1	-1	0	0
26	忽视属性排行|查询忽视光抗	24	-1	-1	-1	0	0
27	防御属性排行|查询物理防御	25	-1	-1	-1	0	0
28	防御属性排行|查询魔法防御	26	-1	-1	-1	0	0
29	防御属性排行|查询冰抗	27	-1	-1	-1	0	0
30	防御属性排行|查询火抗	28	-1	-1	-1	0	0
31	防御属性排行|查询雷抗	29	-1	-1	-1	0	0
32	防御属性排行|查询暗抗	30	-1	-1	-1	0	0
33	防御属性排行|查询光抗	31	-1	-1	-1	0	0
34	剩余经验排行|查询所有职业	8	-1	-1	-1	0	0
35	剩余经验排行|查询骑士	8	0	-1	-1	0	0
36	剩余经验排行|查询赏金猎人	8	1	-1	-1	0	0
37	剩余经验排行|查询傀儡师	8	3	-1	-1	0	0
38	剩余经验排行|查询魔导师	8	2	-1	-1	0	0
39	竞技场排行|查询所有等级	5	-1	-1	-1	0	0
40	竞技场排行|查询20-29级	5	-1	20	29	0	0
41	竞技场排行|查询30-39级	5	-1	30	39	0	0
42	竞技场排行|查询40级	5	-1	40	40	0	0
43	守护属性排行|查询物理攻击	44	-1	-1	-1	0	0
44	守护属性排行|查询魔法攻击	45	-1	-1	-1	0	0
45	守护属性排行|查询致命一击	46	-1	-1	-1	0	0
46	守护属性排行|查询物理防御	47	-1	-1	-1	0	0
47	守护属性排行|查询魔法防御	48	-1	-1	-1	0	0
48	守护属性排行|查询致命抵抗	49	-1	-1	-1	0	0
49	坐骑属性排行|查询生命上限	50	-1	-1	-1	0	0
50	坐骑属性排行|查询冰伤	51	-1	-1	-1	0	0
51	坐骑属性排行|查询火伤	52	-1	-1	-1	0	0
52	坐骑属性排行|查询雷伤	53	-1	-1	-1	0	0
53	坐骑属性排行|查询暗伤	54	-1	-1	-1	0	0
54	坐骑属性排行|查询光伤	55	-1	-1	-1	0	0
55	公会排行|查询综合评分	56	-1	-1	-1	0	0
56	公会排行|查询资金	57	-1	-1	-1	0	0
57	坐骑属性排行|查询评分	58	-1	-1	-1	0	0
58	成就排行|查询所有等级	3	-1	-1	-1	0	0
59	成就排行|查询15-30级	3	-1	15	30	0	0
60	成就排行|查询31-40级	3	-1	31	40	0	0
61	成就排行|查询41-50级	3	-1	41	50	0	0
62	成就排行|查询51-60级	3	-1	51	60	0	0
