logeventid	logeventdesc	logstr1desc	logstr2desc	logstr3desc	logint64desc	logint32desc	logstr4desc	loguint32desc	logcls	logstate	logeventdetail
1	1	1	1	1	1	1	1	1	1	1	1
0	NPC掉落物品	NPC模板（%d）					"%d,%d,%d,%d" 物品ID		8	0	
1	NPC掉落银币	NPC模板（%d）			银币数				2	0	
2	交易金币	玩家UUID	另一个玩家UUID		金币数				1	0	即玩家当面交易金币会记录此LOG，查的时候清使用UUID查询
3	交易物品	玩家UUID	另一个玩家UUID	物品UUID	数量	是否加上后被叠加删除	"%d,%d,%d,%d" 物品ID		8	0	即玩家当面交易物品会记录此LOG，查的时候清使用UUID查询
4	杀怪获得经验	玩家UUID			经验数量	地图ID			16	0	通过此Log可验证查询玩家是否去过某个副本地图
5	任务获得经验	玩家UUID			经验数量	任务ID			16	0	通过此LOG可侧面观察某任务的完成情况，请使用排序对任务进行排序
6	GM获得经验	玩家UUID			经验数量				16	0	运营通过“奖”发放的经验可通过此LOG查询具体数额，需要通过运营奖励领取LOG查询发放状态
7	通用获得金币	玩家UUID			金币数量				1	0	？
8	声望换取金币	玩家UUID			金币数量				1	0	已废弃
9	GM添加金币	玩家UUID			金币数量				1	0	运营通过“奖”发放的金币可通过此LOG查询具体数额，需要通过运营奖励领取LOG查询发放状态
10	邮件获取金币	玩家UUID			金币数量		发送方姓名		1	0	通过邮件获得金币的记录，暂时通过拍卖行和系统发放发送者为交易行和系统
11	邮件操作失败回滚金币	玩家UUID			金币数量				1	0	
12	拍卖操作失败回滚金币	玩家UUID			金币数量				1	0	
14	强化失败回滚金币	玩家UUID			金币数量				1	0	
15	结婚失败回滚金币	玩家UUID			金币数量				1	0	
16	求婚失败回滚金币	玩家UUID			金币数量				1	0	
17	通用扣除金币	玩家UUID			金币数量				1	0	？
18	商店扣除金币	玩家UUID			金币数量				1	0	？
19	发送邮件扣除金币	玩家UUID			金币数量		接受方姓名		1	0	
20	取邮件扣除金币	玩家UUID			金币数量		发送方姓名		1	0	
21	拍卖行扣除金币	玩家UUID			金币数量				1	0	
22	任务扣除金币	玩家UUID			金币数量				1	0	
23	修理扣除金币	玩家UUID			金币数量				1	0	
24	GM扣除金币	玩家UUID			金币数量				1	0	
25	交易税扣除金币	玩家UUID			金币数量				1	0	
27	装备强化扣除金币	玩家UUID			金币数量				1	0	
28	房屋扣除金币	玩家UUID			金币数量				1	0	
29	婚礼扣除金币	玩家UUID			金币数量				1	0	
30	求婚扣除金币	玩家UUID			金币数量				1	0	
31	商店购买物品	玩家UUID	物品UUID	数量	商店ID	是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
32	回购物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
33	拾取物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
34	邮件获取物品	玩家UUID	物品UUID	'%d,%s' 数量 发送邮件者		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
35	邮件失败退回物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
36	拍卖行失败退回物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
37	任务奖励物品	玩家UUID	物品UUID	'%d' 数量	任务ID	是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
38	玩家分拆出物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
39	GM给与物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
40	合成物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
41	IB商店购买物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
42	物品叠加删除	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
43	物品使用删除	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
44	物品丢弃	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
45	物品卖店	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
46	物品玩家掉落	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
47	物品邮件寄送	玩家UUID	物品UUID	'%s' 目标玩家名字		数量	'%d,%d,%d,%d' 物品ID		8	0	
